transaction_id,customer_id,order_date_raw,amount_raw,currency,payment_method,status,refund_raw
T200000,C10381,2023-07-06,$382.86,EUR,Bank Transfer,FAILED,FALSE
T200001,C10238,2023-04-26 07:47:00,AED 124.09,GBP,paypal,,yes
T200002,C10174,14-Feb-2022,183.94,,apple_pay,REFUNDED,1
T200003,C10012,not a date,AED 228.90,,Apple Pay,FAILED,
T200004,C10198,04-Oct-2023,85.33 AED,aed,paypal,chargeback,
T200005,C10073,16-Sep-2024,180.25,US$,PayPal,pending,
T200006,C10192,10/20/2023,179.89,,Bank Transfer,pending,1
T200007,C10354,2024-00-12,AED 0.00,,Cash,refunded,FALSE
T200008,C10313,01/31/2024,302.12dhs,,apple_pay,PAID,1
T200009,,2024-04-13 07:30:00,AED 252.06,EUR,PayPal,Paid,0
T200010,C10108,,,AED,Card,FAILED,yes
T200011,C10139,2023-09-17 09:55:00,159.41,GBP,,Paid,N
T200012,C10299,25/07/2024,,aed,apple_pay,REFUNDED,refund
T200013,C10115,2024-00-12,148.64,EUR,Cash,CHARGEBACK,N
T200014,C10266,,150.87,GBP,paypal,paid,-
T200015,C10150,08/02/2024,$5.61,PKR,card,failed,1
T200016,C10028,2024-09-15 16:22:00,,EUR,bank_transfer,CHARGEBACK,1
T200017,C10021,02-Apr-2023,194.87,aed,card,refunded,yes
T200018,C10354,18-Sep-2024,,PKR,Bank Transfer,chargeback,1
T200019,C10255,13/05/2022,0,AED,Card,Paid,yes
T200020,C10399,06-Jun-2024,free,AED,cash,pending,N
T200021,C10182,2023-06-14 01:07:00,198.52,USD,apple_pay,REFUNDED,full
T200022,C10041,,,AED,Apple Pay,PENDING,TRUE
T200023,C10358,09/09/2023,free,,card,,Y
T200024,C10378,,174.55,GBP,Card,REFUNDED,Y
T200025,,30-Jan-2023,AED 5.92,د.إ,Apple Pay,refunded,yes
T200026,C10238,2023/09/30,AED 131.37,EUR,paypal,failed,N
T200027,C10340,08/23/2023,AED 0.00,د.إ,,pending,FALSE
T200028,C10307,2024-07-29,,AED,PayPal,FAILED,0
T200029,C10301,2022-07-22,$130.02,EUR,Card,FAILED,0
T200030,C10393,,,,card,pending,Y
T200031,,26/11/2023,308.70,GBP,PayPal,FAILED,no
T200032,C10400,2023-08-18,free,,Card,pending,
T200033,C10325,not a date,$244.25,EUR,Card,PAID,-
T200034,C10275,2024-08-16 11:31:00,,EUR,PayPal,CHARGEBACK,no
T200035,C10208,,,PKR,cash,Paid,yes
T200036,C10291,2023/01/24,AED 35.49,USD,Card,PAID,FALSE
T200037,C10195,,$355.44,,Bank Transfer,Paid,1
T200038,C10101,2022-11-14 09:54:00,,,cash,FAILED,
T200039,C10296,,140.47,,Cash,REFUNDED,FALSE
T200040,C10056,2023/09/12,$280.89,GBP,card,FAILED,no
T200041,C10110,2024/02/22,,USD,card,failed,1
T200042,,05/25/2023,248.17,US$,Apple Pay,REFUNDED,
T200043,C10371,2022-04-12 11:18:00,,PKR,Apple Pay,REFUNDED,refund
T200044,C10315,09/08/2023,free,aed,bank_transfer,failed,
T200045,C10216,,0.00 AED,,PayPal,paid,N
T200046,C10251,,225.97 AED,EUR,Apple Pay,,N
T200047,C10111,,449.71 AED,,Cash,REFUNDED,FALSE
T200048,C10230,2022-03-05 14:20:00,212.33dhs,aed,Card,CHARGEBACK,N
T200049,C10405,,$117.05,EUR,bank_transfer,CHARGEBACK,1
T200050,C10237,02/03/2022,,EUR,apple_pay,CHARGEBACK,TRUE
T200051,,22-Mar-2023,AED 208.48,AED,bank_transfer,refunded,full
T200052,C10129,03-Aug-2024,192.17 AED,EUR,apple_pay,FAILED,N
T200053,C10262,not a date,AED 210.31,PKR,PayPal,pending,
T200054,C10267,2023-10-31 13:26:00,164.11 AED,EUR,Bank Transfer,Paid,partial
T200055,C10251,05/11/2024,free,GBP,Card,PAID,partial
T200056,C10354,not a date,,aed,Card,PENDING,1
T200057,C10164,06-Mar-2022,240.19,PKR,cash,PAID,partial
T200058,C10182,2024-00-12,168.63 AED,GBP,Bank Transfer,REFUNDED,
T200059,C10177,,AED 323.17,usd,Bank Transfer,pending,-
T200060,C10368,2023-10-30 08:02:00,,aed,card,PAID,Y
T200061,C10073,2024-00-12,0,PKR,Cash,PENDING,Y
T200062,C10125,27-Dec-2023,168.05dhs,,card,FAILED,full
T200063,C10243,31-Jan-2023,383.94dhs,US$,card,CHARGEBACK,partial
T200064,C10130,18/05/2022,133.99dhs,AED,cash,refunded,partial
T200065,C10075,07/11/2023,,AED,Cash,chargeback,1
T200066,C10104,,,EUR,paypal,,FALSE
T200067,C10123,not a date,,US$,bank_transfer,pending,N
T200068,C10410,05-Mar-2022,,US$,Bank Transfer,chargeback,TRUE
T200069,C10245,11/02/2023,,US$,Card,CHARGEBACK,refund
